Territory X Date,target
South Sudan X 2020/05/16,4
South Sudan X 2020/05/17,4
South Sudan X 2020/05/18,4
South Sudan X 2020/05/19,4
Spain X 2020/05/13,27104
Spain X 2020/05/14,27321
Spain X 2020/05/15,27459
Spain X 2020/05/16,27563
Spain X 2020/05/17,27650
Spain X 2020/05/18,27709
Spain X 2020/05/19,27778
Sri Lanka X 2020/05/13,9
Sri Lanka X 2020/05/14,9
Sri Lanka X 2020/05/15,9
Sri Lanka X 2020/05/16,9
Sri Lanka X 2020/05/17,9
Sri Lanka X 2020/05/18,9
Sri Lanka X 2020/05/19,9
Suriname X 2020/05/13,1
Suriname X 2020/05/14,1
Suriname X 2020/05/15,1
Suriname X 2020/05/16,1
Suriname X 2020/05/17,1
Suriname X 2020/05/18,1
Suriname X 2020/05/19,1
Sweden X 2020/05/13,3460
Sweden X 2020/05/14,3529
Sweden X 2020/05/15,3646
Sweden X 2020/05/16,3674
Sweden X 2020/05/17,3679
Sweden X 2020/05/18,3698
Sweden X 2020/05/19,3743
Switzerland X 2020/05/13,1870
Switzerland X 2020/05/14,1872
Switzerland X 2020/05/15,1878
Switzerland X 2020/05/16,1879
Switzerland X 2020/05/17,1881
Switzerland X 2020/05/18,1886
Switzerland X 2020/05/19,1891
Tajikistan X 2020/05/13,23
Tajikistan X 2020/05/14,29
Tajikistan X 2020/05/15,33
Tajikistan X 2020/05/16,36
Tajikistan X 2020/05/17,39
Tajikistan X 2020/05/18,41
Tajikistan X 2020/05/19,41
Thailand X 2020/05/13,56
Thailand X 2020/05/14,56
Thailand X 2020/05/15,56
Thailand X 2020/05/16,56
Thailand X 2020/05/17,56
Thailand X 2020/05/18,56
Thailand X 2020/05/19,56
Togo X 2020/05/13,11
Togo X 2020/05/14,11
Togo X 2020/05/15,11
Togo X 2020/05/16,11
Togo X 2020/05/17,11
Togo X 2020/05/18,12
Togo X 2020/05/19,12
Trinidad and Tobago X 2020/05/13,8
Trinidad and Tobago X 2020/05/14,8
Trinidad and Tobago X 2020/05/15,8
Trinidad and Tobago X 2020/05/16,8
Trinidad and Tobago X 2020/05/17,8
Trinidad and Tobago X 2020/05/18,8
Trinidad and Tobago X 2020/05/19,8
Tunisia X 2020/05/13,45
Tunisia X 2020/05/14,45
Tunisia X 2020/05/15,45
Tunisia X 2020/05/16,45
Tunisia X 2020/05/17,45
Tunisia X 2020/05/18,45
Tunisia X 2020/05/19,46
Turkey X 2020/05/13,3952
Turkey X 2020/05/14,4007
Turkey X 2020/05/15,4055
Turkey X 2020/05/16,4096
Turkey X 2020/05/17,4140
Turkey X 2020/05/18,4171
Turkey X 2020/05/19,4199
Uganda X 2020/05/13,0
Uganda X 2020/05/14,0
Uganda X 2020/05/15,0
Uganda X 2020/05/16,0
Uganda X 2020/05/17,0
Uganda X 2020/05/18,0
Uganda X 2020/05/19,0
Ukraine X 2020/05/13,439
Ukraine X 2020/05/14,456
Ukraine X 2020/05/15,476
Ukraine X 2020/05/16,497
Ukraine X 2020/05/17,514
Ukraine X 2020/05/18,535
Ukraine X 2020/05/19,548
Uruguay X 2020/05/13,19
Uruguay X 2020/05/14,19
Uruguay X 2020/05/15,19
Uruguay X 2020/05/16,19
Uruguay X 2020/05/17,20
Uruguay X 2020/05/18,20
Uruguay X 2020/05/19,20
Uzbekistan X 2020/05/13,11
Uzbekistan X 2020/05/14,11
Uzbekistan X 2020/05/15,11
Uzbekistan X 2020/05/16,11
Uzbekistan X 2020/05/17,12
Uzbekistan X 2020/05/18,13
Uzbekistan X 2020/05/19,13
Yemen X 2020/05/13,12
Yemen X 2020/05/14,12
Yemen X 2020/05/15,15
Yemen X 2020/05/16,18
Yemen X 2020/05/17,20
Yemen X 2020/05/18,20
Yemen X 2020/05/19,28
Zambia X 2020/05/13,7
Zambia X 2020/05/14,7
Zambia X 2020/05/15,7
Zambia X 2020/05/16,7
Zambia X 2020/05/17,7
Zambia X 2020/05/18,7
Zambia X 2020/05/19,7
Zimbabwe X 2020/05/13,4
Zimbabwe X 2020/05/14,4
Zimbabwe X 2020/05/15,4
Zimbabwe X 2020/05/16,4
Zimbabwe X 2020/05/17,4
Zimbabwe X 2020/05/18,4
Zimbabwe X 2020/05/19,4
